protein	log2FC	p-val
tyrB	0.046	0.827
ecnB	0.22	0.249
ihfA	-0.32	0.013
folE	0.122	0.257
cusR	-0.302	0.073
yifL	0.076	0.72
trpA	0.456	0.076
gmhA	-0.03	0.92
hisB	0.14	0.018
rne	-0.228	1.89e-05
accA	-0.016	0.902
aldA	0.906	0.00038
recA	-0.009	1.0
trpS	0.125	0.38
pepA	-0.349	0.013
glyS	0.134	0.07
guaC	-0.115	1.0
pyrH	-0.085	0.325
upp	-0.373	2.091e-08
ybeZ	0.101	0.687
greA	-0.219	0.018
fumA	0.194	0.001
trxA	-0.118	0.06
ydgH	0.041	0.463
pepB	-0.199	0.164
purR	-0.325	0.0007825
cspA	-0.992	1.33e-07
thrA	-0.042	0.388
accB	-0.08	0.295
purF	-0.012	0.981
rpsL	-0.096	0.122
metG	0.093	0.764
mipA	0.975	0.00018
rplA	-0.136	0.0003364
leuB	0.121	0.065
ubiE	0.08	0.258
yhdL	-0.537	0.0007
sfcA	0.334	0.189
ndk	0.107	0.06
aceE	-0.013	0.997
hisH	0.313	0.071
ompX	-0.236	0.0005697
hisD	0.231	0.214
hisP	0.092	0.662
nuoF	-0.06	0.664
livF	-0.134	0.588
fliC	2.312	0.0
cspC	-0.04	0.819
metL	0.004	0.958
cusB	0.018	0.869
livG	-0.057	0.904
crl	-1.072	0.016
ahpF	-0.111	0.131
leuA	0.065	0.229
ygdK	-0.376	0.045
argS	-0.2	0.061
dksA	0.104	0.167
dnaJ	-0.113	0.737
msbA	-0.13	0.604
rpsK	-0.141	0.001
atpD	0.064	0.132
rpsP	-0.104	0.332
map	-0.315	0.04
rplJ	-0.06	0.229
pepD	0.168	0.329
artJ	0.204	0.0005407
rnb	-0.061	0.231
rpsU	-0.121	0.173
guaB	0.094	0.098
gcp	-0.064	0.788
typA	-0.058	0.122
yceD	-0.304	0.003
hpt	-0.125	0.25
guaA	0.054	0.799
ompA	0.02	0.456
dnaK	0.217	4.809e-08
pta	0.115	0.094
rplF	-0.167	0.0003537
nfuA	-0.236	0.105
serS	-0.071	0.686
ahpC	-0.012	0.749
gmk	0.18	0.39
acnB	0.181	3.837e-09
ptsG	0.356	0.0009198
yegQ	-0.452	0.002
stpA	0.385	0.003
yhbY	-0.466	0.013
aroG	0.007	0.787
yhcB	-0.069	0.428
aspC	0.128	0.018
nuoA	0.284	0.715
purT	0.17	0.262
hns	-0.215	1.623e-05
hldD	0.003	0.797
artI	-0.22	0.067
ynfB	-0.329	0.092
rpmE	0.005	1.0
rluC	1.587	0.109
rhlE	-0.242	0.158
rph	-0.152	0.524
gcvT	0.04	0.959
cusC	-0.105	0.587
rpoA	-0.193	6.28e-06
infA	-0.407	9.314e-05
ndpA	-0.147	0.34
hupA	-0.154	0.042
minD	-0.066	0.819
argI	0.597	0.006
gnd	0.03	0.482
fkpA	-0.146	0.112
dut	0.112	1.0
pal	0.082	0.295
pspB	-0.036	0.811
thrC	-0.102	0.019
hisJ	0.22	5.941e-05
aroF	0.137	0.696
livJ	0.013	0.853
rpoB	-0.0009818	0.642
ybiT	-0.154	0.291
lon	-0.08	0.09
nuoG	0.028	0.274
argH	0.128	0.692
rplR	-0.177	0.033
pfkA	-0.022	0.645
rraA	-0.054	0.843
acrA	-0.161	0.152
ligA	-0.381	0.051
groS	0.179	0.278
pgm	0.033	1.0
lptB	-0.018	1.0
rpmI	-0.203	0.058
pntB	0.181	0.008
rpsC	-0.166	0.009
secG	-0.371	0.069
ilvG	0.123	0.172
wzzB	-0.027	0.985
sucC	0.507	5.278e-12
purH	0.353	7.675e-06
rplE	-0.211	1.321e-06
atpA	0.071	0.029
metA	0.027	0.786
eno	0.146	0.034
atpC	0.27	0.251
gpmA	0.016	0.919
aceF	-0.045	0.586
yfcD	-0.146	0.72
fabG	0.021	0.85
ybgF	-0.15	0.044
ppa	0.002	0.512
nlpA	-0.152	0.055
purE	0.309	0.134
leuD	0.497	9.894e-12
ycdY	-0.189	0.332
aroH	-0.192	0.176
yncE	0.088	0.086
yqjI	-0.891	0.097
rsmC	-0.766	0.089
argD	0.117	0.009
rplC	-0.099	0.275
hemL	0.219	0.381
metJ	-0.204	0.212
deoD	0.023	0.933
tgt	-0.457	0.035
gor	0.128	0.561
cirA	0.199	0.702
purA	0.273	3.004e-06
kdpC	-0.015	0.563
asd	0.585	2.22e-06
nmpC	0.943	0.0
frmA	-0.245	0.11
mprA	-0.031	1.0
pntA	0.316	1.439e-07
purM	0.205	0.004
arnA	0.331	0.126
gst	-0.467	0.015
ptsI	0.279	5.299e-09
nadE	0.082	0.512
prfA	-0.921	0.005
glmU	0.062	0.705
ssb	-0.0002922	1.0
tpiA	0.419	0.002
adk	-0.043	0.693
rplQ	-0.209	0.002
icd	0.127	0.04
argA	-0.02	1.0
tsx	-0.067	0.524
crr	-0.305	1.315e-09
rbfA	-0.419	1.924e-06
engD	0.006	0.918
tmk	-0.179	0.821
ydjN	-0.132	0.471
grxD	-0.021	1.0
oppA	0.147	0.264
pmbA	0.031	1.0
atpH	0.07	0.249
allR	-0.032	1.0
fabZ	-0.228	0.003
fabD	-0.053	0.428
rpoC	-0.002	0.856
fdx	-0.322	0.001
corC	0.001	1.0
elbB	-0.002	1.0
rpsH	-0.151	0.02
rpsD	-0.244	3.256e-07
iscA	-0.223	0.428
clpX	-0.016	0.415
rplV	-0.177	0.0001009
yibN	-0.234	0.001
pepN	-0.098	0.584
mioC	-0.219	0.071
yfiF	-0.145	0.481
yfbU	-0.005	1.0
sucB	-0.029	1.0
oxyR	0.011	1.0
grpE	-0.061	0.588
ilvA	0.172	0.016
infC	-0.026	0.566
ffh	-0.095	0.723
rplB	-0.082	0.094
rdgB	-0.028	1.0
ybiC	0.116	0.302
surA	-0.087	0.13
rpmC	-0.119	0.201
rpsR	-0.353	7.01e-05
rplU	-0.157	0.32
lrp	0.132	0.066
accC	0.015	0.525
rplK	-0.254	1.163e-05
atpE	0.042	0.998
rpmG	-0.151	0.126
hscB	0.149	0.267
nusA	-0.135	0.0001075
hfq	-0.127	0.253
smpA	-0.15	0.114
asnS	0.015	0.596
ppc	0.244	3.114e-06
pflB	0.362	9.838e-05
yfcB	-0.181	0.217
lysS	0.02	0.529
rpsJ	-0.272	6.63e-05
metI	-0.162	0.12
yhgF	-0.071	0.751
pth	-0.037	1.0
argG	0.303	1.719e-09
fabB	-0.152	0.021
slyB	-0.274	0.012
hflK	-0.024	0.87
yiaF	-0.257	0.216
efp	-0.085	0.467
glyQ	-0.159	0.069
yfdH	0.176	0.276
htpG	0.258	0.005
iscS	-0.225	0.0002377
pykA	0.043	0.829
rpsF	-0.142	0.054
yciT	-0.269	0.003
potD	0.189	0.058
cheY	2.873	0.0001
rpsN	-0.216	0.078
nifU	-0.014	1.0
kdpB	0.092	0.19
rplT	-0.275	0.04
livK	-0.213	3.004e-07
nlpB	-0.043	1.0
pyrD	0.066	0.791
ilvC	0.294	6.413e-07
dppF	0.229	0.267
glnS	0.024	0.676
cysI	0.0002321	0.725
yfiO	-0.143	0.933
traT	-0.093	0.538
yagU	-0.2	0.194
gltD	0.265	1.407e-05
ydfG	-0.012	1.0
fabI	0.247	2.936e-06
fabF	-0.152	0.065
sodA	0.088	0.297
purU	-0.032	0.819
metQ	0.063	0.009
atpG	0.133	0.034
ygfY	-0.397	0.024
ompF	-0.113	0.06
yeeX	-0.076	0.511
ltaE	-0.101	0.665
purL	0.247	0.0001498
ackA	-0.008	0.763
solA	0.042	0.989
pyrC	-0.222	0.81
manX	0.039	1.0
rpmF	-0.078	0.247
trpB	-0.069	1.0
ydiJ	0.388	0.413
leuS	-0.022	0.585
dacA	0.273	1.0
yfgM	-0.038	1.0
fliY	-0.395	0.007
ilvE	0.158	0.008
eda	-0.068	0.605
