protein	log2FC	p-val
rpiA	0.321	0.375
aer	0.547	0.002
elbB	0.334	0.07
metN	0.229	0.006
purD	-0.298	0.052
moaC	0.259	0.431
amn	0.278	0.349
degQ	0.329	0.302
cheZ	0.271	0.015
msrB	0.676	0.044
cysP	-0.044	0.624
panD	-0.336	0.069
oppD	0.819	0.052
hinT	0.186	0.172
glgP	0.248	0.636
pgm	0.118	0.952
fbaA	-0.156	0.044
recA	0.21	0.072
thiE	-0.124	0.351
rpsN	0.067	1.0
murE	-0.049	1.0
deaD	-0.007	0.855
rnb	-0.331	0.031
usg	0.098	0.762
rpsO	0.03	0.817
bcp	-0.029	0.856
tyrA	-0.038	1.0
ompF	0.575	5.32e-07
aroB	0.371	0.157
pifC	0.638	0.046
zwf	0.01	0.818
dppA	0.728	8.882e-16
pheT	-0.197	0.222
pntB	-0.121	0.168
yedF	0.362	0.19
trpA	-0.26	0.235
nifU	-0.062	0.861
thiD	0.086	0.875
ychN	-0.668	0.17
ompC	0.283	0.752
modA	0.665	0.025
fis	-0.405	0.014
rbsK	0.643	4.914e-06
purE	-0.326	0.817
def	0.602	0.287
ilvM	0.351	0.413
yceD	0.175	0.585
rplP	-0.195	0.039
ndpA	-0.224	0.659
speB	-0.003	1.0
moaB	0.111	0.886
flgI	0.306	0.295
thyA	0.02	1.0
ygfB	-0.042	1.0
asnS	-0.228	0.008
hisH	-0.091	0.498
gyrB	-0.193	0.577
serC	-0.302	7.68e-05
kdpB	0.317	0.405
rcsB	0.042	1.0
prfC	0.258	0.328
ppiD	0.119	0.472
fliY	0.224	0.041
fabA	0.047	1.0
ybeD	-0.307	0.325
tolC	0.156	0.286
guaB	-0.323	0.0008207
trpC	-0.439	0.401
ompA	-0.278	2.471e-07
yfiO	-0.393	0.206
pspA	1.614	0.026
dapB	-0.319	0.032
uspA	0.539	0.009
fnr	-0.336	0.091
codA	0.087	0.363
yicC	0.095	0.889
secY	0.035	1.0
yibN	0.102	0.437
sucD	0.43	3.766e-09
yeaD	-0.446	0.069
ilvD	0.029	0.786
pckA	1.13	0.0
atpC	0.259	0.167
elaB	1.489	0.019
yjgF	0.301	0.309
ompT	-0.004	0.947
kdsA	0.002	0.853
hemX	-1.755	0.315
nuoE	0.242	0.287
hisB	-0.061	0.348
yedE	0.841	0.06
metC	-0.041	0.92
ptsI	-0.598	6.751e-12
nudE	0.032	1.0
talB	-0.132	0.159
yraP	0.28	0.234
cspC	0.015	0.852
prfB	0.085	0.64
manZ	-0.666	0.061
yajC	0.501	0.013
nuoB	0.759	0.065
rplY	-0.207	0.05
lysC	-0.101	0.098
dppF	0.382	0.371
aroK	-0.1	0.599
crr	-0.298	0.002
ttcA	-0.382	0.708
proQ	-0.109	0.884
cysE	0.452	0.145
rplM	0.007	1.0
dcp	0.263	0.458
rpsK	-0.086	0.414
pta	0.134	0.235
glyS	0.143	0.251
hsdR	0.295	0.363
thiM	-0.008	1.0
flgG	0.482	0.191
asnB	0.102	0.696
nadE	-0.12	0.417
gmhA	0.255	0.231
cysM	-0.072	0.98
yfiF	-0.415	0.215
htpG	0.016	0.76
fur	0.362	0.528
