protein	log2FC	p-val
flgG	0.826	0.085
fliI	0.949	0.065
glnQ	2.02	0.003
rplU	-0.688	0.04
ompR	0.982	0.007
kdgR	0.483	0.13
gyrB	-0.221	0.468
livF	0.187	0.927
infC	-0.111	0.452
rhlB	-0.713	0.096
arnC	-0.027	1.0
clpP	0.304	0.168
upp	-0.407	0.013
typA	-0.925	9.419e-08
gyrA	0.02	0.782
asnB	0.01	0.938
surA	0.264	0.299
avtA	-0.104	0.79
iscS	0.34	0.011
yjgD	-0.009	1.0
pfkA	0.029	0.993
ygfZ	0.522	0.019
yhbJ	0.729	0.042
yaeH	2.022	0.0006
flgK	1.544	0.005
kdsA	0.165	0.311
hisG	-0.008	0.972
tonB	-1.583	0.013
rpsF	-0.72	2.954e-06
rplA	-0.77	8.882e-16
sucD	0.983	0.0
recA	1.003	0.019
dapD	-0.631	1.288e-10
metN	0.026	0.932
fliM	1.876	0.285
glmS	-0.582	0.0002219
speB	-0.123	0.911
dcrB	0.38	0.098
fabI	-0.294	0.005
cyoA	-0.095	0.789
rpsE	-0.577	1.022e-07
uxuB	0.353	0.544
rpiA	0.408	0.373
sdhB	0.691	1.03e-13
thiD	0.326	0.168
btuR	0.909	0.036
aer	0.893	0.016
trpS	0.11	0.778
yajQ	-0.125	0.549
trxB	0.206	0.127
dnaK	-0.138	0.253
dhaK	3.058	0.003
nmpC	0.643	1.935e-12
metI	0.3	0.265
pal	-0.457	0.002
fabG	0.023	0.854
pepN	0.829	0.000983
folE	-0.419	0.156
ftsY	0.184	0.622
aceE	-0.26	1.895e-07
ydgH	0.707	0.0009942
grxC	0.793	0.0003204
yahO	2.443	0.002
tufA	-0.112	0.032
pyrC	0.699	0.11
yfgL	0.151	0.264
trpB	-0.747	0.0009855
ychN	1.916	0.0004012
nagE	-0.223	1.0
dut	0.021	1.0
gltD	-0.982	9.326e-14
fliF	0.167	0.769
gshA	-0.124	0.973
oxyR	0.364	0.086
yidA	-0.224	0.38
putP	1.499	0.022
yeiP	-0.006	1.0
lptB	0.389	0.093
ybgF	-0.471	0.165
pgm	0.558	0.018
ybiT	0.249	0.906
fabB	0.579	0.001
mipA	-0.488	0.069
arnB	0.268	0.072
aroF	-0.028	1.0
valS	-0.321	0.002
sodA	-0.35	0.001
kdpB	0.101	0.632
grpE	-0.214	0.193
cysJ	-0.832	5.944e-08
sopB	0.282	0.269
purL	-0.191	0.016
dppA	1.372	0.0
ybbN	0.103	0.731
ycdY	2.587	0.014
nusG	0.053	0.597
polA	0.393	0.455
guaC	0.081	1.0
ppc	-0.33	0.0004025
osmC	3.168	2.36e-06
moaC	1.113	0.009
rpsQ	-0.958	0.0002
mukB	1.415	0.027
yicC	0.565	0.149
metB	0.336	0.082
pdxK	0.82	0.062
yjcZ	1.718	3.253e-05
yrbC	0.649	0.106
uspA	1.268	1.071e-05
cheZ	0.792	1.947e-06
yagU	-0.765	0.014
yedF	0.559	0.09
crl	-0.199	0.741
adhE	-0.059	0.819
lepA	0.528	0.226
glnB	0.242	0.325
tolB	0.384	0.062
glgB	1.185	0.138
narL	-0.131	1.0
map	0.044	0.463
nifU	0.24	0.294
pdxB	0.407	0.173
hldD	0.043	0.944
imp	-0.298	0.59
rpsM	-0.657	0.0009181
gpmI	-1.05	0.000138
yuaY	1.905	0.005
rbsK	1.869	2.767e-07
bglA	0.519	0.071
atpD	0.343	2.202e-09
accB	-0.031	0.84
tig	-0.455	7.461e-14
