protein	log2FC	p-val
rof	0.271	0.284
fbaB	0.499	0.216
yhfA	0.154	0.729
pal	-0.087	0.291
rplI	-0.144	0.089
atpH	-0.07	0.525
udp	0.233	0.221
spr	-0.939	0.103
yfcB	0.127	0.644
damX	0.154	0.615
fdx	0.189	0.325
clpA	0.275	0.163
gyrB	0.045	0.93
purD	-0.382	0.585
aceB	0.028	1.0
tsr	-0.344	0.002
fabI	0.134	0.078
hslU	-0.065	0.539
ydhR	0.076	0.993
hisI	0.218	0.59
dps	0.667	0.125
kdgR	-0.107	0.799
rpsI	-0.124	0.243
aldA	-0.014	0.701
rpsR	0.233	0.284
argH	0.178	0.175
cusA	-0.095	0.936
fliA	-0.423	0.211
glmS	0.067	0.724
ubiE	-0.033	0.948
rpsP	-0.178	0.188
rpmA	-0.216	0.47
yeaG	0.636	0.03
proS	-0.149	0.266
atpG	-0.07	0.482
ydgA	0.146	0.425
yahK	0.53	0.002
typA	-0.072	0.409
cheY	-0.007	0.784
metL	-0.325	0.336
yghU	0.011	1.0
trxA	0.234	0.045
rplC	-0.274	0.015
valS	-0.012	0.98
nuoC	0.081	0.616
yeiP	-0.143	1.0
yfgD	-1.222	0.019
iscS	0.077	0.398
yfgL	-0.031	0.885
yidA	0.219	0.462
rpiA	0.205	0.399
trg	-0.116	0.694
pfkA	0.29	0.476
pfkB	-0.047	1.0
yrbD	0.15	0.618
atpF	-0.198	0.365
gabT	0.311	0.217
yibN	0.041	1.0
fadE	0.215	0.414
pykF	0.099	0.463
hslO	0.144	0.61
yccJ	0.481	0.038
secB	-0.118	0.587
ftsY	-0.062	1.0
yfgM	-0.083	0.91
metQ	-0.017	0.89
yqjD	0.768	0.007
glyA	-0.094	0.188
rcsF	0.377	0.303
fabF	-0.003	1.0
rplA	-0.152	0.015
hisG	0.178	0.301
can	0.066	0.563
hflC	-0.144	0.805
cheA	-0.756	0.0006365
sodA	0.017	1.0
mscS	0.355	0.096
tdk	0.218	0.779
zipA	0.15	0.619
argT	0.173	0.257
cysN	-0.419	0.005
ldhA	0.039	0.951
gst	0.259	0.169
recA	-0.106	0.774
trpD	0.053	1.0
yliJ	0.172	0.444
