protein	log2FC	p-val
sufC	0.097	1.0
rcsB	0.119	0.51
yggE	0.825	0.048
mtnN	0.417	0.125
rpmF	-0.494	0.004
infA	-0.352	0.031
rpsR	-0.701	0.02
orn	-0.427	0.326
codA	-0.686	0.052
fkpA	0.041	0.331
upp	-0.366	0.028
speB	-0.013	1.0
potF	0.412	0.2
mug	0.572	0.132
rpmI	-0.413	0.042
deoC	0.897	0.057
leuD	0.265	0.008
gyrB	0.0007069	0.988
ribE	-0.5	0.449
lptB	-0.346	0.023
leuS	-0.304	0.002
ilvG	0.515	0.000141
rbsC	0.062	1.0
adhE	0.332	0.0003956
uxaC	-0.362	0.693
argB	0.858	2.2e-06
hisP	0.379	0.126
metC	0.593	0.082
yajC	-0.203	0.779
typA	0.103	0.138
argS	0.008	1.0
serS	0.151	0.397
gshB	0.418	0.125
proQ	-0.175	0.445
bcp	0.546	0.0004784
pssA	0.022	0.998
dsbA	-0.24	0.298
metK	0.23	0.002
sspA	0.174	0.454
pckA	-0.407	0.021
yidA	0.005	1.0
yfdH	-0.099	0.689
hisF	0.989	6.76e-05
hisH	0.645	0.028
yceD	-0.13	0.504
def	-0.463	0.361
gpmI	-0.061	0.527
yfeX	0.145	0.424
ilvM	0.315	0.186
fabB	0.126	0.397
elbB	-0.101	0.625
corC	-0.075	1.0
yqjD	1.796	0.002
rplF	-0.497	4.066e-08
rpmG	-0.221	0.166
ilvI	0.487	0.023
yaiE	-0.549	0.259
purC	-0.361	0.002
rbsK	-0.728	0.0001262
cheZ	-2.657	1.731e-08
cspE	-0.459	0.028
rpsD	-0.473	1.822e-07
atpG	0.01	1.0
pnp	-0.061	0.945
fldA	0.033	1.0
ilvC	-0.777	1.132e-12
zwf	0.402	0.139
rpsN	-0.587	0.002
tar	-1.592	2.665e-15
fabF	-0.149	0.616
ahpC	0.251	0.0007334
rplK	-0.922	1.141e-07
accD	-0.317	0.457
ribH	-0.137	0.369
moaB	0.681	0.039
flu	0.215	0.68
hemN	0.411	0.252
nuoG	-0.445	0.614
groS	-0.201	0.314
gyrA	0.168	0.289
slyA	0.529	0.071
rplO	-0.496	0.0002652
hns	-0.031	0.751
rplP	-0.521	4.361e-06
artJ	0.496	8.423e-06
trxB	0.419	0.0002349
btuB	0.02	0.885
maeB	-0.181	0.293
aceE	0.467	4.88e-12
atpA	-0.146	0.043
ilvA	0.509	2.664e-09
acrB	0.04	0.808
yfiO	0.074	1.0
ygiF	0.682	0.119
pntA	0.738	7.049e-09
ileS	-0.022	0.843
yraM	-0.056	1.0
tyrB	0.666	0.062
metQ	-0.101	0.041
yhbJ	0.275	0.082
kdpC	-0.268	0.176
rpsQ	-0.229	1.0
accC	-0.102	0.504
rbsD	-0.56	0.076
