protein	log2FC	p-val
sstT	2.107	0.043
lepA	0.069	1.0
flgK	1.296	0.009
arnA	-0.342	0.213
minD	0.282	0.137
eda	-0.166	0.301
rpsL	-0.324	0.248
pfkA	0.032	0.846
nuoE	0.048	1.0
aceA	1.141	4.027e-05
def	0.000965	1.0
yceI	0.151	0.758
melA	3.46	2.479e-07
yhjE	-1.78	0.027
gpmI	-0.31	0.046
nagD	2.258	0.129
udp	0.857	0.004
rpmA	-0.182	0.137
clpX	-0.041	0.833
fnr	-0.378	0.313
fabD	0.064	0.636
rcsB	-0.028	1.0
clpB	0.278	0.036
pal	-0.175	0.087
thrS	-0.241	0.08
tyrB	0.34	0.026
pykA	0.824	2.689e-08
rpsF	-0.495	0.0006677
rplX	-0.565	0.001
ilvG	0.079	0.643
cheW	1.056	5.352e-06
pgk	0.195	0.000557
metH	-0.213	0.344
atpA	0.449	5.773e-15
asnS	-0.294	0.001
yjcD	-0.5	0.525
hflX	-0.029	0.906
dapA	-0.355	0.568
yncE	-0.931	0.01
yeiP	0.293	0.35
diaA	0.194	0.704
murA	0.02	1.0
ppiD	0.034	0.925
rpsH	-0.299	0.038
aceE	-0.273	6.23e-07
erpA	-0.023	0.835
acnA	0.929	0.0006956
pntB	0.029	0.981
rplS	-0.297	0.006
gcvT	1.326	0.005
yuaY	1.076	0.027
carB	-0.438	7.435e-09
ppiC	0.579	0.245
pyrG	-0.354	0.002
fliG	1.083	0.0001506
aroB	0.893	0.031
rpiA	0.326	0.536
nfnB	0.122	0.858
leuA	-0.017	0.819
grxB	0.956	0.019
pyrF	-0.319	0.319
grxD	0.015	0.996
asd	-0.297	0.002
ybiC	0.365	0.006
yjhC	2.01	0.016
groL	0.195	9.557e-05
rpoC	0.089	0.091
aer	1.703	0.003
glyS	0.051	0.416
ftsY	0.011	1.0
metA	0.701	0.0005349
ybeZ	0.034	0.937
tolC	0.138	0.232
nlpD	0.188	0.789
uxuB	0.619	0.193
hupA	0.556	6.247e-09
guaB	-0.788	2.144e-05
galU	0.087	0.468
yfgM	0.072	1.0
metI	0.368	0.204
ygfY	0.229	0.515
purU	-0.395	0.014
atpF	0.281	0.017
atpG	0.31	0.007
nlpA	-0.175	0.338
leuD	0.081	0.832
uspA	0.798	5.726e-05
cysB	0.773	0.084
nagB	5.542	0.007
pdxH	0.501	0.056
cysD	-0.744	0.0004698
zwf	0.213	0.202
pheA	0.158	0.736
pyrH	-0.105	0.763
aceF	-0.197	0.036
rbfA	-0.061	0.643
yhcB	0.491	0.019
prs	-0.029	0.961
murE	-0.25	0.345
asnA	-0.401	0.935
accD	0.266	0.1
glmM	0.207	0.361
rpsR	-0.138	1.0
argS	0.026	0.674
pykF	-0.66	2.321e-07
purF	-0.598	0.043
fliZ	1.078	0.0001435
ribH	-0.156	0.34
phoP	0.173	0.737
lacZ	4.623	0.0
cysC	-0.68	0.014
luxS	0.036	1.0
alaS	0.027	0.99
kdpB	-0.087	0.494
lysC	0.315	9.611e-06
rplO	-0.308	0.002
greA	0.115	0.727
dcp	0.103	0.432
ghrA	0.464	0.158
exbB	-1.677	0.007
oppA	0.773	8.281e-12
argC	-0.201	0.472
tyrA	1.606	0.034
purB	-0.101	0.458
ecnB	1.013	0.009
trg	2.251	1.11e-15
leuS	-0.098	0.256
pifC	0.715	0.021
suhB	-0.285	0.42
ygfB	-0.295	0.457
manZ	-0.725	0.37
purE	0.294	0.456
rne	0.372	0.086
iscS	0.301	0.006
flgI	0.634	0.122
narL	0.056	1.0
galE	0.005	0.97
cyoA	0.022	0.457
gst	0.672	0.058
trxB	0.197	0.197
sfcA	0.606	0.071
prfC	-0.064	1.0
ybeD	-0.013	0.989
arcA	0.583	5.155e-06
proA	0.257	0.749
rpsU	-0.446	0.004
guaC	-0.689	0.307
rbsC	1.762	0.015
dnaK	0.008	0.536
yedE	1.182	0.032
rplI	-0.387	0.0001886
yicC	0.422	0.238
rpsM	-0.365	0.001
speB	-0.027	1.0
rplU	-0.454	0.013
acnB	1.121	0.0
fumC	0.393	0.321
thiM	-0.027	1.0
ydjN	-0.155	0.196
yqjI	-0.942	0.106
rpoD	0.468	0.004
cysI	-0.357	0.000332
solA	0.803	0.0001666
trpB	1.625	0.204
pheT	-0.068	0.542
ndpA	-0.047	1.0
tonB	-1.459	0.026
yfgD	-0.053	1.0
nadE	0.138	0.338
yraP	0.747	0.044
glnS	-0.037	0.899
argA	-0.054	0.661
cspC	-0.326	0.009
hslU	-0.099	0.376
sdhB	0.625	3.549e-12
rplC	-0.28	0.016
damX	0.179	0.584
metB	0.068	0.814
yaeT	0.334	0.002
thiG	0.188	0.239
serC	-0.22	0.014
hfq	0.465	0.662
rplB	-0.33	0.0003697
yjgF	-0.076	1.0
ftnA	0.838	0.034
ppc	0.041	0.721
ydgH	0.546	0.003
yhjH	0.502	0.152
rplA	-0.395	1.013e-08
aroF	-0.213	0.71
infB	0.063	0.311
frmA	0.225	0.436
pgi	-0.049	0.831
apt	-0.561	0.027
cueO	-0.064	1.0
argB	-0.298	0.046
yajG	0.171	0.371
fabZ	0.036	0.961
icd	0.578	0.0
psd	0.12	1.0
clpP	0.167	0.631
cspA	-1.311	0.001
folE	-0.396	0.016
ompR	0.475	0.083
aroG	-0.736	1.681e-09
wzzB	-0.445	0.076
ackA	0.07	0.438
secD	0.181	0.944
yjgD	-0.045	0.921
fbp	0.191	0.175
pgl	0.681	0.165
ychN	1.139	0.068
pflB	0.435	4.175e-08
hisS	-0.061	0.563
ompA	-0.218	0.0003672
secA	0.077	0.788
engB	0.523	0.099
fabI	0.051	0.676
ihfA	0.466	0.0005451
tsr	0.765	7.994e-14
ompX	-1.077	0.0001098
yfcB	0.994	0.03
can	0.309	0.043
cysJ	-0.446	1.276e-06
cysA	-0.108	0.708
tsf	-0.262	3.255e-05
glmS	-0.323	0.034
rplR	-0.282	0.408
mreB	0.039	0.766
ybgI	0.696	0.002
fabB	0.537	0.008
recA	0.628	0.012
carA	-0.407	3.099e-05
clpA	0.401	0.118
dapB	-0.112	0.42
copA	1.319	0.069
moaC	1.081	0.013
