protein	log2FC	p-val
uxuB	-0.205	0.864
ftsY	0.174	0.494
dut	-0.038	0.658
fliA	0.142	0.802
fabH	0.489	0.128
rnb	-0.343	0.148
ribH	-0.259	0.271
recA	0.158	0.482
fis	0.001	1.0
yhjH	-0.156	0.689
hscA	-0.051	1.0
rpsP	0.025	1.0
ilvM	-0.208	0.416
hisG	0.016	0.884
udp	0.481	0.017
glk	-0.251	0.4
prfB	0.152	0.604
rplW	-0.409	0.024
fliL	-0.11	0.897
yfiF	0.508	0.392
argC	-0.024	0.936
accA	-0.044	0.747
cspC	0.167	0.752
ydjN	-0.213	0.084
rbfA	-0.081	0.678
pfkA	-0.074	0.695
greA	0.134	0.312
rbsA	0.413	0.000299
yiaF	-0.266	0.616
glcB	0.226	0.138
secD	0.02	0.853
rplD	-0.247	0.039
apt	-0.216	0.291
yniC	-0.473	0.766
glmM	-0.19	0.374
ygfY	0.1	0.939
rplR	0.219	0.451
nuoC	-0.037	0.89
fbaB	1.521	0.001
pepB	0.107	0.289
rpe	-0.32	0.925
erpA	0.256	0.219
clpB	0.248	0.014
rpiA	0.1	0.842
purR	-0.387	0.112
ndk	-0.062	0.156
leuD	-0.119	0.197
aroB	0.027	0.876
typA	-0.314	0.016
tyrB	0.192	0.173
zwf	0.053	0.779
mtlA	0.48	0.271
dnaJ	-0.892	0.221
yaeT	-0.079	0.401
gst	0.357	0.12
proQ	-0.126	0.579
lysC	-0.057	0.371
proS	-0.066	0.492
yhjJ	1.205	0.061
dnaN	0.248	0.5
pyrG	0.118	0.52
leuA	-0.063	0.665
atpG	-0.027	0.84
aroK	-0.645	0.17
mug	-0.36	0.276
nfnB	-1.715	0.041
pheA	0.073	0.639
crl	-0.227	0.886
aspA	0.269	0.36
qor	0.78	0.075
gltB	-0.203	0.004
rplK	-0.231	0.013
rplB	-0.181	0.088
hslV	-0.139	0.603
yggX	-0.285	0.098
fkpA	0.025	0.939
pspA	0.527	0.505
rplV	-0.202	0.003
