protein	log2FC	p-val
ygdK	0.326	0.926
fliF	1.105	0.073
uspG	1.036	0.025
rpoZ	-0.025	0.931
fklB	-0.106	0.781
grcA	-0.076	1.0
frr	0.065	0.588
hflK	0.407	0.042
rplI	-0.189	0.053
rho	-0.168	0.127
gyrA	0.089	0.453
yrbD	-0.08	1.0
acrA	-0.172	0.358
ffh	-0.189	0.612
nlpD	0.192	0.657
avtA	0.058	1.0
accA	-0.025	0.638
livK	-0.019	0.846
yagU	-0.148	0.849
rpsJ	-0.454	3.951e-06
atpF	0.016	0.715
hisH	0.257	0.258
aroG	-0.394	2.37e-05
rpsS	-0.083	0.333
sfcA	-0.142	1.0
secD	0.037	0.428
pheS	-0.22	0.336
bcp	0.12	0.344
ilvN	0.263	0.049
rbfA	-0.13	0.519
nlpB	0.272	0.003
yeaD	0.052	1.0
flgN	-0.272	0.085
ghrB	-0.042	0.736
yrbB	0.039	1.0
thiC	-0.109	0.415
katG	0.884	1.332e-15
hisF	0.056	1.0
rcsB	0.236	0.24
pmbA	-0.134	0.695
pyrH	-0.103	0.762
proS	-0.063	0.316
potF	0.276	0.454
yjjK	-0.142	0.188
ecnB	1.649	0.00014
yedE	0.555	0.111
yjcD	0.876	0.156
galU	0.294	0.238
ydgA	0.173	0.416
grxC	0.243	0.159
gabD	1.469	0.057
sodA	-0.014	0.987
agp	1.502	0.013
aceA	1.831	1.016e-09
araF	0.565	0.063
aroK	-0.161	0.67
ybiT	0.538	0.108
cpdB	0.107	1.0
manZ	0.755	0.021
panD	-0.153	0.399
gltD	-0.189	0.059
ilvD	-0.073	0.316
erpA	0.257	0.173
argI	0.072	0.579
mtlD	0.526	0.131
yfcZ	-1.782	0.186
cusC	-0.74	0.201
kdpB	0.118	0.513
rnb	-0.271	0.307
hemL	0.152	0.38
pflB	0.344	1.395e-07
diaA	0.351	0.269
galT	-0.182	0.31
slyD	0.094	0.657
nuoE	0.147	0.514
flgG	-0.215	0.69
acs	0.857	0.0
yraM	0.343	0.319
pfkA	-0.084	0.503
metN	-0.074	0.762
tufA	-0.075	0.256
cysE	-2.448	0.053
crp	0.569	0.0005159
fumC	0.691	0.002
gcvT	-0.153	0.592
ahpF	0.203	0.523
gpmA	0.271	0.086
gltJ	0.317	0.299
aceB	0.704	0.122
yihD	0.288	0.413
trpA	-0.12	0.253
ftsZ	0.204	0.046
aroL	0.04	1.0
ftnA	0.867	0.009
pgl	0.33	0.558
nuoF	0.169	0.291
yggX	0.055	0.675
luxS	0.407	0.029
purK	-0.036	1.0
rpsT	-0.295	0.007
cysD	-0.333	0.025
bglA	0.21	0.535
yqjD	1.44	0.001
atpA	0.052	0.19
rsgA	0.297	0.443
skp	0.223	0.179
rpmF	-0.19	0.136
pntB	-0.347	0.01
rplF	-0.26	0.003
mdoD	-1.484	0.081
lpxA	0.309	0.193
tyrB	0.307	0.042
icd	0.15	0.000275
ygdH	0.088	0.955
yajQ	-0.091	0.522
ptsI	0.044	0.836
zwf	0.085	0.73
rplB	-0.337	0.004
sucB	-0.064	0.914
atpC	0.095	0.454
minD	0.344	0.067
ydiA	-0.324	0.58
metG	-0.04	0.679
rpsP	0.142	0.785
fliI	0.298	0.618
gpmI	-0.676	0.002
nudE	0.267	0.706
sstT	-2.967	0.352
can	-0.002	0.991
rpsB	-0.274	1.346e-05
sodB	0.036	0.393
trxA	0.245	0.046
yjgF	0.195	0.419
ynjH	1.507	0.006
flgL	0.075	0.763
tonB	-0.114	1.0
gdhA	-0.362	3.161e-11
nusG	-0.056	0.717
galE	-0.286	0.058
acrB	0.363	0.191
purU	-0.11	0.473
gltA	-0.047	0.244
gshB	0.0001989	1.0
rdgB	0.346	1.0
rplA	-0.296	3.992e-06
valS	-0.139	0.128
talB	-0.165	0.176
ydeN	0.861	0.003
gyrB	0.037	0.994
atpG	0.086	0.422
ydgH	0.248	0.072
pyrD	-0.134	0.703
rbsA	0.575	7.499e-08
pepD	0.106	0.423
folX	0.182	0.581
artI	0.219	0.403
rplE	-0.286	0.0004946
argS	-0.111	0.329
pheA	-0.02	0.974
purM	-0.101	0.402
leuA	0.063	0.611
rbsK	0.312	0.026
rpsL	0.541	0.501
metK	-0.195	0.005
ompX	-0.162	0.335
lpp	0.189	0.04
arnA	-0.119	0.846
iscR	0.197	0.247
sucA	-0.027	0.634
sucC	0.064	0.264
leuC	-0.099	0.415
degQ	0.506	0.018
purT	0.057	0.938
ttcA	0.012	1.0
glnS	-0.103	0.579
engB	0.062	1.0
fabD	0.146	0.164
lptB	0.003	0.96
flgE	0.012	0.81
yfgM	0.047	1.0
ycaR	1.052	0.275
ydfG	0.276	0.014
manX	0.276	0.255
ytfQ	1.493	8.385e-06
mdh	0.19	0.0002542
katE	1.337	0.012
pepN	0.289	0.013
thiE	-0.087	0.812
ndpA	-0.078	1.0
cysS	-0.237	0.361
guaA	-0.076	0.328
yaeT	0.159	0.141
phoP	0.411	0.213
argB	-0.116	0.289
groL	0.131	0.002
ssb	0.193	0.176
dnaJ	-0.533	0.864
yjhC	0.782	0.071
gltI	0.736	0.0
pyrC	0.113	0.779
pssA	0.206	0.498
dppD	-0.448	0.74
fabH	0.273	0.328
mprA	-0.149	0.646
basR	-0.046	1.0
artJ	-0.116	0.308
flgK	0.356	0.124
fbaA	-0.164	0.074
mug	0.166	0.695
pykF	-0.284	0.15
cysK	-0.024	0.418
rpsQ	-0.281	0.032
purR	-0.174	0.516
prfB	-0.085	0.274
modC	0.201	0.319
ndk	0.033	0.809
rpoD	0.107	0.675
pgi	-0.103	0.339
fadA	0.833	0.0003504
yggL	-1.032	0.031
purA	-0.116	0.085
lysC	-0.05	0.414
rpsD	-0.349	6.103e-08
surA	0.405	0.109
panC	0.17	0.455
grxD	0.37	0.008
nadE	-0.141	0.715
ybgI	0.344	0.208
damX	0.542	0.146
